Tweet;Tweet_Parsed;True_Label;Pred_Label
Kmera iphone 11 mmeng beda;kamera  memang beda;kamera positif;kamera positif
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;   kamera depannya jelek  aku liat liat para pengguna kalau pada foto harus foto didepan cermin menggunakan kamera belakang soalnya;kamera negatif;kamera negatif
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦; meluncurkan  dengan peningkatan daya tahan baterai  lebih besar sayangnya itu tidak berlaku untuk pembaruan perangkat lunak  ;baterai positif;baterai positif
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;hasil kamera xiaomi note bisa di adulah sama   sejauh  pernah saya gunakan ini lebih baik  daripada   ;kamera positif;kamera positif
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalau  lebih lebih penting ketajaman layar lebih baik   tapi kalau buat keseluruhan    ultra wide angle  bagus sekali chipset juga terbaru ;general positif,kamera positif,spesifikasi positif;general positif,kamera positif,spesifikasi positif
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik  ungu  ini  padahal aku tidak kaya ;general positif;general positif
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang    ;kamera positif;kamera positif
Iphone 11 pun menarik;  menarik;general positif;general positif
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;tidak murah karena  layar sama besar dengan   harga   wajar dibanding dengan  kesimpulan mahal ;harga negatif,general positif;harga negatif,general positif
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";   warna ungu bagus beli  ;general positif;general positif
Iphone 11 terbaik; terbaik;general positif;general positif
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;suka bodoh kamu  baterai kapasitas cepat sekali turun aku marah ;baterai negatif;baterai negatif
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;sebenarnya menginginkan bangeettt ganti  hanya karena ada warna mint hijau kaya bagus begitu udah pergi ke ibox dan eraphone apa sekali begitu dan udah nanya hampir beli tapi seketika sadar masih ada  lain  di prioritasin ;general positif;general positif
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;   aku kamu karena dengan  ini aku mampu merekam video kepala dengan penuh hd;kamera positif;kamera positif
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;sebanding parah  sayang  begitu beli xr kameranya cuman walau hasilnya bagus sekali tidak muluk kalau mau milih tuh harusnya antara    sama  nah itu baru pilihan susah ;kamera positif;kamera positif
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;cepat charge itu cepat charger   ini cepat charger tapi keno beli usb hok mendukung cepat charger dan berguna  sambil charge dok molek kei;baterai positif;baterai positif
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11; karena  lebih terbaru daripada    dan dari spek juga bagusan  ;spesifikasi positif;spesifikasi positif
Iphone 11 aja yg purple lucu bgt :(;   ungu bagus sekali ;general positif;general positif
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ  pic.twitter.com/1uAKqTbAwb";kelanjutan dari zan gapunya  buat percobaan aplikasi ingin punya  tapi boros sekali belinya mahal dan then bagus memberi saya lebih baik alternatif karena its gratis in a tidak menyangka  iya iya punya kantor kemudian bukan tipe baru tapi seneng makasi bosku dunia ;harga negatif;harga negatif
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;aku suka baterai  walaupun kapasitas baterai  hanya mhw tapi penampilan  lebih baik daripada smartfone android  berkapasiti mhw satu karena saya tidak suka pakai android karena baterai  selalu baterai turun mendadak;baterai negatif;baterai negatif
wowowoowow iphone iphone iphone 11 pro;wow    ;general positif;general positif
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;aku dulu samsung note kemudian ke  beralih ke  jadi lebih suka karena kamera lebih jelas dan bagus  kalau  agak ribet di simpan datanya begitu menurutku tapi sukanya karena kalau perbarui lebih jelas android sebagus apapun kalau perbarui tidak se bersih  ;kamera positif;kamera positif
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";suaranya seperti pengumuman    mic  bersih sekali  jadi menginginkan beli tapi nga ada duitnya hahaha ;general positif;general positif
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­; ungu cinta sekali sama ungu bagus cantik indah sekali ;general positif;general positif
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;  karena lebih saat di tangan dan kameranya tuh lebih bagus chipset juga lebih oke dari   ;kamera positif,spesifikasi positif;kamera positif,spesifikasi positif
try pakai iphone 11 dulu bro, serius best camera dia huhu;coba pakai  dulu  serius baik kamera dia ;kamera positif;kamera positif
Knp iphone 11 aku tiba2 blank dekat sejam, smpai aku terpaksa letak dlm beras sbb dia blank dan phone jd panas lepas sejam letak dlm beras phone nyala lepastu battery habis padahal sblm padam tu battery full kot..adakah ini normal??;kenapa  aku tiba mati dekat sejam sampai aku terpaksa letak dalam beras karena dia mati dan  jadi panas setelah sejam letak dalam beras  nyala setelah baterai habis padahal sebelum mati itu baterai full kok adakah ini normal ;baterai negatif;baterai negatif
