Tweet;Tweet_Parsed;True_Label;Pred_Label
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;   tapi rugi  kalau kamu beli   baru sekarang i maksud langsung ke  juga tidak apa apa sebenarnya secara speknya lebih bagus terus harganya tidak jauh beda ;spesifikasi positif,harga positif;spesifikasi negatif,harga negatif
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;saya juga dulu bingung ingin pilih  atau    review all spesifikasi keduanya tapi karena kurang minat dengan bentuk kamera  akhirnya saya memilih   juga disebabkan pasangan saya memakai    konon ingin sesuai  ;kamera negatif;spesifikasi negatif,general positif,kamera negatif
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalau  lebih lebih penting ketajaman layar lebih baik   tapi kalau buat keseluruhan    ultra wide angle  bagus sekali chipset juga terbaru ;general positif,kamera positif,spesifikasi positif;general positif,kamera positif,spesifikasi negatif
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik  ungu  ini  padahal aku tidak kaya ;general positif;general negatif
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;tidak murah karena  layar sama besar dengan   harga   wajar dibanding dengan  kesimpulan mahal ;harga negatif,general positif;harga negatif,general negatif
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";   warna ungu bagus beli  ;general positif;general negatif
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";selain sebulan menggunakan  i can mengatakan a bionic chipset prosessor sangat halus melancarkan segala perisian dalaman kamera memang sangat cantik terutama untuk rakaman video dengan stabilization  sangat seimbang dan halus baterai tahan hari dan lebih;kamera positif,spesifikasi positif,baterai positif;spesifikasi positif,kamera positif,baterai negatif
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;saya suka   tapi tidak mampu oleh itu  saya tunggu  harap ada rezeki ;general positif,harga negatif;general negatif
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;   aku kamu karena dengan  ini aku mampu merekam video kepala dengan penuh hd;kamera positif;kamera negatif
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;sebanding parah  sayang  begitu beli xr kameranya cuman walau hasilnya bagus sekali tidak muluk kalau mau milih tuh harusnya antara    sama  nah itu baru pilihan susah ;kamera positif;kamera negatif
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;cepat charge itu cepat charger   ini cepat charger tapi keno beli usb hok mendukung cepat charger dan berguna  sambil charge dok molek kei;baterai positif;baterai negatif
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11; karena  lebih terbaru daripada    dan dari spek juga bagusan  ;spesifikasi positif;spesifikasi negatif
Iphone 11 aja yg purple lucu bgt :(;   ungu bagus sekali ;general positif;general negatif
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;aku dulu samsung note kemudian ke  beralih ke  jadi lebih suka karena kamera lebih jelas dan bagus  kalau  agak ribet di simpan datanya begitu menurutku tapi sukanya karena kalau perbarui lebih jelas android sebagus apapun kalau perbarui tidak se bersih  ;kamera positif;kamera negatif
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";   karena kapasitas memori besar gb jadi bisa untuk jangka lama dan sederhana untuk santai  but mungkin be aneh sejak you were an android ke  s  edisi karena  dan warna casing  bagus;spesifikasi positif,general positif;baterai positif,spesifikasi negatif,general negatif
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";suaranya seperti pengumuman    mic  bersih sekali  jadi menginginkan beli tapi nga ada duitnya hahaha ;general positif;general negatif
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;  karena lebih saat di tangan dan kameranya tuh lebih bagus chipset juga lebih oke dari   ;kamera positif,spesifikasi positif;kamera negatif,spesifikasi negatif
iPhone 11 Pro Max irit kok.;   irit kok ;baterai positif;general positif
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT"; udah  setelah menggunakan  tahun ios jelek ini  mau ganti  tapi takut kalau tidak sengaja tertukar sama adek ;baterai negatif,spesifikasi negatif;spesifikasi negatif
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;  ukurannya lebih kecil daripada  se baru tapi kamera seri pronya  besar sekali   kameranya keliatan kecil tidak ada power adapter sama earpod cuma dapet kabelnya  plus  chip a is suka times lebih baik than  currrent a ;general negatif,kamera negatif,spesifikasi positif;general negatif,kamera positif,spesifikasi positif
Iphone 11 lh, battery dia tahan sikit;  baterai dia tahan sedikit;baterai positif;baterai negatif
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kenapa  walaupun hampir juta kalau cuma android tidak dihargai begitu kemaren waktu foto pilihan ada samsung s ultimate sama    dibilang menggunakan  kamu  kan kameranya paling cantik membicarakan   padahal  samsung kameranya bagus juga sedih aku itu;kamera positif;kamera negatif
try pakai iphone 11 dulu bro, serius best camera dia huhu;coba pakai  dulu  serius baik kamera dia ;kamera positif;kamera negatif
Iyaaa kan. Cakep banget iPhone 11 Pro & 11 Pro Max Ã°Å¸Â¤Â©;iya kan bagus sekali     ;general positif;general negatif
"Heran iphone11 memory cepet banget abis.. 

Kebetulan lagi hobby bikin video masak.. kadang ditengah masak memori abis.. bingung dan panik makanan bisa gagal.. 

Tapi setelah liat kualitas videonya bener2 unnecessary bagus dan alus banget.. terlalu canggih buat saya..";heran  memori cepat sekali abis kebetulan lagi suka membuat video masak kadang ditengah masak memori abis bingung dan panik makanan bisa gagal tapi setelah liat kualitas videonya bener tidak penting bagus dan alus sekali terlalu canggih buat saya ;spesifikasi negatif,kamera positif;spesifikasi positif,kamera negatif
android baterai nya tahan lama, iphone boros kcuali iphone 11;android baterai  tahan lama  boros kecuali  ;baterai positif;baterai negatif
"@iphonefess halo sore ka, mau nanya nih. iPhone 11 Pro Max ku kemarin kehabisan baterai, terus aku charger eh jadi lama banget. Seharian cuma masuk sekitar 40%. Lambang charging nyala, n semua normal ngga panas. Kira2 apanya ka?
Tolong dibantu ya, tks Ã°Å"; iphonefess halo sore ka mau tanya     ku kemarin kehabisan baterai terus aku charger eh jadi lama sekali seharian cuma masuk sekitar lambang charger nyala n semua normal ngga panas kira apanya ka  dibantu  terimakasih ;baterai negatif;baterai positif
iPhone 11. Chipsetnya kenceng, layar besar dan batterynya kuat karena resolusi displaynya rendah Ã°Å¸Ëâ   https://twitter.com/GamesMenfess/status/1274142447451295745ÃÂ Ã¢â¬Â¦; chipset kenceng layar besar dan baterai kuat karena resolusi layar rendah ;spesifikasi positif,general positif,baterai positif,general negatif;spesifikasi negatif,general positif,baterai negatif,kamera positif
"Iphone x max bagus kameranya iphone 11 jg bagus hehehe ...
Gua selfie pake hp itu cakep.

Tp gua selfie pake hp gua ini jele Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£";   bagus kameranya  juga bagus  aku foto menggunakan  itu bagus tapi aku foto menggunakan  aku ini jele ;kamera positif;kamera negatif
iphone 11 promax kamera bgus hp bgus;  kamera bagus  bagus;kamera positif;kamera negatif
Go for iPhone 11 and above. Samsung ni android paham2 la ahahhahah developer app selalu anak tirikan android, anak emaskan iPhone. Walaupun S20 flagship but application optimization for hardware tak seoptimum iPhone. Story ig akan tetap ada micro lag.;go untuk  dan above samsung ini android paham la  developer aplikasi selalu anak tirikan android anak emaskan  walaupun s flagship but application optimization untuk hardware tidak seoptimum  story ig akan tetap ada micro lag ;kamera positif,spesifikasi positif;general negatif
pake iphone 11 kakak biar videonya makin cetar;menggunakan  kakak biar videonya makin cetar;kamera positif;kamera negatif
yaallah tergoda iphone 11 warna biru. eh apase warna sebenere. pokok biru jareku;yaallah tergoda  warna biru eh apa warna sebenere pokok biru suka;general positif;general negatif
Haih cantiknya camera depan iphone 11 Ã°Å¸ËÅ; bagus kamera depan  ;kamera positif;kamera negatif
"Beli iphone 11 kemaren niat nya cuman mau beli mouse buat laptop, trus iseng nanya Ã¢â¬Åini berapa bang? Yg warna itu? Ternyata dikasih 11 pro biasa kecil ga sadar.
2hari kmudian nanya ke salesnya Ã¢â¬Åkok kecil ku mau yg max brp? Ã¢â¬ÅYdh ambil silver 256gb.

Riyalife tamat.";beli  kemaren niat  cuman mau beli mouse buat laptop lalu iseng tanya ini berapa bang  warna itu ternyata dikasih  biasa kecil tidak sadar hari kmudian tanya ke salesnya kok kecil ku mau   berapa yasudah ambil silver gb riyalife tamat ;general negatif;general positif
iPhone 11 yang warna ungu cakep kali:( blm move on Ã°Å¸Â¥Âº;  warna ungu bagus sekali belum move hidup ;general positif;general negatif
Bateri 3687mAh ini dijangka akan dimuatkan di dalam iPhone 12 Pro Max. Meskipun kapasiti bateri iPhone tak pernah mencapai 4000mAh, ketahanan bateri iPhone sejak siri iPhone 11 tak boleh disangkal. Bahkan mampu bersaing dgn Huawei Mate 30 Pro yg mempunyai kapasiti bateri 4500mAh.  pic.twitter.com/fPTalZPXM6;baterai mah ini dalam akan dimasukan di dalam    meskipun kapasitas baterai  tidak pernah mencapai mah ketahanan baterai  sejak seri  tidak boleh disangkal bahkan mampu bersaing dengan huawei mate   mempunyai kapasitas baterai mah ;baterai positif;baterai negatif
iPhone 11 aja chargernya masih 5 watt  https://twitter.com/oppo/status/1282494958709039104ÃÂ Ã¢â¬Â¦;  chargernya masih watt ;baterai negatif;baterai positif
Update iOS, Pengguna iPhone Keluhkan Bikin Baterai Jebol  http://dlvr.it/RbRXhDÃÂ  #LatestNews #OS #apple #iOS #iphone11;perbarui ios pengguna  keluhkan membuat baterai turun latestnews os  ios  ;baterai negatif;spesifikasi positif,baterai negatif
 https://terasjabar.id/plugin/article/view/105355/apple-meluncurkan-iphone-11-dengan-peningkatan-daya-tahan-baterai-keluhkan-update-ios-13-5-1-kuras-baterai-ponsel-ÃÂ Ã¢â¬Â¦ Apple Meluncurkan iPhone 11 Dengan Peningkatan Daya Tahan Baterai, Keluhkan Update iOS 13.5.1 Kuras Baterai Ponsel #Apple #iPhone;  meluncurkan  dengan peningkatan daya tahan baterai keluhkan perbarui ios kuras baterai ponsel  ;baterai positif,spesifikasi negatif,baterai negatif;baterai positif,spesifikasi positif
Iphone 11 warna mintÃ°Å¸ËÂ­ plss mau bgt atau ga yg unguÃ°Å¸ËÂ­Ã°Å¸ËÂ­; warna mint mohon mau sekali atau tidak  ungu ;general positif;general negatif
Iphone 11 aja Tp soal battre bener2 jauh lebih irit ip 11. Kenaikan perfoma 20% dari XS MAX ke iphone 11;  tapi soal baterai bener jauh lebih irit  kenaikan perfoma dari   ke  ;baterai positif,spesifikasi positif;baterai negatif
Alasan kenapa haru beli iphone 11, yg jelas bukan karna gaya gayaan, tapi buat menunjang kerjaan. Gila sih fitur potretnya bikin nangisÃ°Å¸ËÂ­(gambar belum di edit)  pic.twitter.com/idu6XvQVNE;alasan kenapa harus beli   jelas bukan karna gaya gayaan tapi buat menunjang kerjaan sekali  fitur potretnya membuat suka gambar belum di edit ;kamera positif;kamera negatif
Oh terus kalo iphone kameranya yang bisa selfie wide baru iphone 11, lu samsung aja biar kalo kita selfie bareng gampang WKWKWKWKWK; terus kalau  kameranya  bisa foto wide baru  kamu samsung  biar kalau kita foto bareng gampang wkwkwkwkwk;kamera positif;kamera negatif
Kabarnya #Apple akan membekali #iPhone 12 dengan baterai berkapasitas yang lebih besar dari iPhone 11 Pro Max.   https://www.tagar.id/iphone-12-akan-gendong-baterai-kapasitas-besar/?source=twitterÃÂ Ã¢â¬Â¦;kabarnya  akan membekali  dengan baterai berkapasitas  lebih besar dari    ;baterai positif;baterai negatif
"Cinematic video by iPhone 11

Pengalaman unik pas buat video ini tidak ada persiapan, batray juga tinggal 22% Ã°Å¸ËâÃ°Å¸Ëâ tapi lumayan lah bisa nandingin miroles Ã°Å¸Ëâ¹Ã°Å¸Ëâ¹ saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini. @makemac #ShootoniPhone pic.twitter.com/dpu1oRopEw";cinematic video   pengalaman unik saat buat video ini tidak ada persiapan baterai juga tinggal tapi lumayan lah bisa nandingin miroles saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini makemac shootoniphone ;kamera positif,baterai positif;kamera positif,baterai negatif
Dr 2017 lalu aku pakai iphone 6s ini, skg baterainya udah ngedrop bgt, dr 100% ke 20% cuman tahan 30 menit. Liat harga iphone 11 pro yg udah mulai turun, emang inilah saatnya aku harus beli power bank.;dari lalu aku pakai  s ini sekarang baterainya udah ngedrop sekali dari ke cuman tahan menit liat harga    udah mulai turun memang inilah saatnya aku harus beli power bank ;baterai negatif,harga positif;baterai positif,harga negatif
iPhone 11 biar fotonya bagus *LXC*  https://twitter.com/oliviabyexxyx/status/1267809902661009411ÃÂ Ã¢â¬Â¦; biar fotonya bagus lxc ;kamera positif;kamera negatif
Aku merasa hpku mulai kehilangan ketajaman kameranya. Apakah ini tandanya buat upgrade?? Ya abis beda banget bandingin sm iPhone 11 punya ponakan, bening bener dah gambarnya.;aku merasa hpku mulai kehilangan ketajaman kameranya apakah ini tandanya buat upgrade  abis beda sekali bandingin dengan  punya ponakan bagus benar  gambarnya ;kamera positif;kamera negatif
wah cantiknya camera iphone 11 Ã°Å¸âÂÃ°Å¸ââÃ°Å¸âÂ;wah bagus kamera  ;kamera positif;kamera negatif
"iphone 11 buat user yg ga demen gonta ganti hp tiap tahun
batre jg lebih awet iphone"; buat pengguna  tidak suka ganti ganti  tiap tahun baterai juga lebih awet ;baterai positif;baterai negatif
iphone 11 megapro ini selain kameranya apanya dah yang unggul? perasaan wa migrasi dari 7 ke x ga banyak kemajuan; megapro ini selain kameranya apanya   unggul perasaan wa migrasi dari ke  tidak banyak kemajuan;kamera positif;kamera negatif
Assalam min, saya pakai Iphone 11 dan pakai latest ios. Tapi dalam sehari mesti sekali or dua kali line saya akan hilang kejap pstu muncul Ã¢â¬Ëno serviceÃ¢â¬â¢. Lepas 5 sec mcmtu , dia okay balik. Saya dah try semua solutions kat Apple Support, tapi x jadi. Mcm mna ye min ? @XavierNaxa;assalam admin saya pakai  dan pakai terbaru ios tapi dalam sehari pasti sekali atau dua sekali line saya akan hilang lalu kemudian muncul no service setelah sec seperti dia ok balik saya  coba semua solusi dengan  mendukung tapi  jadi jadi mana  admin xaviernaxa;spesifikasi negatif;spesifikasi positif
