Tweet;label;Tweet_Parsed;Prediksi;Prediksi_Score
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif;admin normal pakai baterai kapasitas turun;baterai positif;baterai 0
Kmera iphone 11 mmeng beda;kamera positif;kamera beda;kamera positif;kamera 0
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif;kamera depannya jelek liat liat pengguna foto harus foto didepan cermin kamera;kamera negatif;kamera -1
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;baterai positif;meluncurkan peningkatan daya tahan baterai lebih sayangnya tidak berlaku pembaruan perangkat lunak;baterai positif;baterai 1
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi  positif;rugi beli maksud langsung tidak speknya lebih bagus harganya tidak beda;harga negatif;harga -1
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;kamera negatif;bingung ingin pilih review spesifikasi kurang minat bentuk kamera memilih disebabkan pasangan memakai konon ingin sesuai;general negatif,kamera positif;general -3,kamera 1
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera negatif;hasil kamera xiaomi note bisa adulah lebih;kamera positif;kamera 0
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif, spesifikasi positif;lebih lebih ketajaman layar lebih keseluruhan ultra wide angle bagus chipset terbaru;general positif;general 1
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif;cantik ungu tidak kaya;general positif;general 1
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif;persahabatan lebih indah diabadikan kamera;kamera positif;kamera 1
Iphone 11 pun menarik;general positif;menarik;general positif;general 1
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. Harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;harga negatif;tidak murah layar harga wajar dibanding kesimpulan mahal;harga negatif,general positif;harga -1,general 0
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";general positif;warna ungu bagus beli;general positif;general 1
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;general positif;kemarin pas rilis mata langsung warnanya warna ungu tertarik berat produk mengeluarkan warna ungu alhamdulillah terwujud beli;general negatif;general -2
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. Kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";kamera positif,baterai positif,spesifikasi positif;sebulan bionic chipset prosessor halus melancarkan perisian dalaman kamera cantik rakaman video stabilization seimbang halus baterai tahan lebih;kamera positif,spesifikasi positif,baterai positif;kamera 1,spesifikasi 0,baterai 0
Iphone 11 terbaik;general positif;terbaik;general positif;general 1
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;baterai negatif;suka bodoh baterai kapasitas cepat turun marah;baterai negatif;baterai -1
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;general positif;pengen bangeettt ganti hanya warna mint hijau kaya bagus udah pergi ibox eraphone udah nanya hampir beli seketika sadar prioritasin;general positif;general 1
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;general positif,harga negatif;suka tidak mampu tunggu harap rezeki;general negatif;general -1
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;kamera positif;mampu merekam video kepala penuh hd;kamera positif;kamera 1
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;kamera positif;sebanding parah sayang beli xr kameranya cuman walau hasilnya bagus tidak muluk milih tuh harusnya pilihan susah;kamera positif;kamera 0
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;baterai positif;cepat charge cepat charger cepat charger keno beli usb hok mendukung cepat charger berguna charge dok molek kei;baterai positif;baterai 1
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;spesifikasi  positif;lebih terbaru spek bagusan;general positif;general 1
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";general positif;lucu warnanya ungu bagus salah fokus judul;general negatif;general -1
Iphone 11 aja yg purple lucu bgt :(;general positif;ungu bagus;general positif;general 1
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ  pic.twitter.com/1uAKqTbAwb";harga negatif;kelanjutan zan gapunya percobaan aplikasi ingin boros belinya mahal bagus lebih alternatif gratis tidak menyangka iya iya kantor bukan tipe seneng makasi bosku dunia;harga negatif;harga -3
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;baterai negatif;suka baterai walaupun kapasitas baterai hanya mhw penampilan lebih smartfone android berkapasiti mhw tidak suka pakai android baterai baterai turun mendadak;baterai negatif;baterai -2
wowowoowow iphone iphone iphone 11 pro;kamera positif;wow;general positif;general 2
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;kemera positif;samsung note beralih lebih suka kamera lebih jelas bagus agak ribet simpan datanya menurutku sukanya perbarui lebih jelas android sebagus apapun perbarui tidak bersih;kamera positif;kamera 1
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";general positif;kapasitas memori gb bisa jangka sederhana santai might aneh android edisi warna casing bagus;general positif,baterai positif,spesifikasi positif;general 1,baterai 0,spesifikasi 0
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";general positif;suaranya pengumuman mic bersih pengen beli nga duitnya hahaha;general positif;general 1
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;ungu cinta ungu bagus cantik indah;general positif;general 4
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;lebih pas tangan kameranya tuh lebih bagus chipset lebih oke;kamera positif;kamera 1
iPhone 11 Pro Max irit kok.;baterai positif;irit;general positif;general 0
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";baterai negatif,spesifikasi negatif;udah ios jelek ganti takut tidak sengaja tertukar adek;spesifikasi negatif;spesifikasi -2
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;kamera negatif;ukurannya lebih kecil kamera seri pronya kameranya keliatan kecil tidak power adapter earpod cuma dapet kabelnya plus chip suka times lebih currrent;general negatif,kamera negatif;general -1,kamera -1
Iphone 11 lh, battery dia tahan sikit;baterai positif;baterai tahan sedikit;baterai negatif;baterai -1
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kamera positif;walaupun hampir juta cuma android tidak dihargai kemaren waktu foto pilihan samsung ultimate dibilang kameranya cantik membicarakan samsung kameranya bagus sedih;kamera negatif;kamera -1
