Tweet;label;Tweet_Parsed_1;Tweet_Parsed_2;Tweet_Parsed_3;Tweet_Parsed_4;Tweet_Parsed_5
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif;Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;min, normal ke kalau iphone 11/11 pro /pro max baru pakai beberapa bulan battery capacity dah drop to 96%?;min normal ke kalau iphone 11 11 pro pro max baru pakai beberapa bulan battery capacity dah drop to 96 ;admin normal ke kalau     baru pakai beberapa bulan baterai kapasitas  turun  ;admin normal ke kalau     baru pakai beberapa bulan baterai kapasitas  turun  
Kmera iphone 11 mmeng beda;kamera positif;Kmera iphone 11 mmeng beda;kmera iphone 11 mmeng beda;kmera iphone 11 mmeng beda;kamera  memang beda;kamera  memang beda
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif;Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;iphone 11 pro max kamera depannya jelek ye? gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;iphone 11 pro max kamera depannya jelek ye gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;   kamera depannya jelek  aku liat liat para pengguna kalau pada foto harus foto didepan cermin menggunakan kamera belakang soalnya;   kamera depan jelek  aku liat liat para guna kalau pada foto harus foto depan cermin guna kamera belakang soal
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;baterai positif;Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.    Ã¢â¬Â¦;apple meluncurkan iphone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software apple.    ã¢â¬â¦;apple meluncurkan iphone 11 dengan peningkatan daya tahan baterai yang lebih besar sayangnya itu tak berlaku untuk pembaruan software apple ; meluncurkan  dengan peningkatan daya tahan baterai  lebih besar sayangnya itu tidak berlaku untuk pembaruan perangkat lunak  ; luncur  dengan tingkat daya tahan baterai  lebih besar sayang itu tidak laku untuk baru perangkat lunak  
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi  positif;xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;xs max senderrr tapi rugi sih kalo kamu beli xs max baru sekarang i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda ;  senderrr tapi rugi  kalau kamu beli   baru sekarang i maksud langsung ke  juga gapapa sebenarnya secara speknya lebih bagus terus harganya tidak jauh beda ;  senderrr tapi rugi  kalau kamu beli   baru sekarang i maksud langsung ke  juga gapapa benar cara speknya lebih bagus terus harga tidak jauh beda 
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;kamera negatif;Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)    Ã¢â¬Â¦;saya juga dulu confuse nak pilih iphone 11 or iphone xs. dah review all spec keduanya. tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsã°å¸ëâ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)    ã¢â¬â¦;saya juga dulu confuse nak pilih iphone 11 or iphone xs dah review all spec keduanya tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xs juga disebabkan crush saya memakai iphone xs max konon nak matching ekekekeke ;saya juga dulu bingung ingin pilih  atau    review all spesifikasi keduanya tapi karena kurang minat dengan bentuk kamera  akhirnya saya memilih   juga disebabkan pasangan saya memakai    konon ingin sesuai  ;saya juga dulu bingung ingin pilih  atau    review all spesifikasi dua tapi karena kurang minat dengan bentuk kamera  akhir saya pilih   juga sebab pasang saya pakai    konon ingin sesuai  
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera negatif;Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax   ;hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax ã°å¸ëâã°å¸â¤â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax   ;hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax ;hasil kamera xiaomi note bisa di adulah sama   sejauh  pernah saya gunakan ini lebih baik  daripada   ;hasil kamera xiaomi note bisa di adu sama   jauh  pernah saya guna ini lebih baik  daripada   
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif, spesifikasi positif;Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalo sender lebih mentingin ketajaman layar mending xs max, tapi kalo buat keseluruhan ya iphone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalo sender lebih mentingin ketajaman layar mending xs max tapi kalo buat keseluruhan ya iphone 11 atuh ultra wide angle nya cakep banget chipsetnya juga terbaru ;kalau  lebih lebih penting ketajaman layar lebih baik   tapi kalau buat keseluruhan    ultra wide angle  bagus sekali chipset juga terbaru ;kalau  lebih lebih penting tajam layar lebih baik   tapi kalau buat seluruh    ultra wide angle  bagus sekali chipset juga baru 
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif;Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa ;cantik  ungu  ini  padahal aku tidak kaya ;cantik  ungu  ini  padahal aku tidak kaya 
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif;Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iphone 11 pro max.;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iphone 11 pro max ;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang    ;sahabat memang lebih indah kalau abadi dengan kamera belakang    
