Tweet;Tweet_Parsed;True_Label;Pred_Label
Kmera iphone 11 mmeng beda;kamera beda;kamera positif;kamera negatif
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;rugi beli maksud langsung tidak speknya lebih bagus harganya tidak beda;spesifikasi  positif;harga negatif
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;bingung ingin pilih review spesifikasi kurang minat bentuk kamera memilih disebabkan pasangan memakai konon ingin sesuai;kamera negatif;general positif,kamera positif
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;hasil kamera xiaomi note bisa adulah lebih;kamera negatif;kamera positif
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;lebih lebih ketajaman layar lebih keseluruhan ultra wide angle bagus chipset terbaru;baterai positif, spesifikasi positif;general positif
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik ungu tidak kaya;general positif;general negatif
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. Harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;tidak murah layar harga wajar dibanding kesimpulan mahal;harga negatif;harga negatif,general positif
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";warna ungu bagus beli;general positif;general negatif
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. Kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";sebulan bionic chipset prosessor halus melancarkan perisian dalaman kamera cantik rakaman video stabilization seimbang halus baterai tahan lebih;kamera positif,baterai positif,spesifikasi positif;spesifikasi positif,kamera negatif,baterai negatif
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;pengen bangeettt ganti hanya warna mint hijau kaya bagus udah pergi ibox eraphone udah nanya hampir beli seketika sadar prioritasin;general positif;general negatif
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;suka tidak mampu tunggu harap rezeki;general positif,harga negatif;general negatif
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;sebanding parah sayang beli xr kameranya cuman walau hasilnya bagus tidak muluk milih tuh harusnya pilihan susah;kamera positif;kamera negatif
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;cepat charge cepat charger cepat charger keno beli usb hok mendukung cepat charger berguna charge dok molek kei;baterai positif;baterai negatif
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;lebih terbaru spek bagusan;spesifikasi  positif;general positif
Iphone 11 aja yg purple lucu bgt :(;ungu bagus;general positif;general negatif
wowowoowow iphone iphone iphone 11 pro;wow;kamera positif;general positif
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;samsung note beralih lebih suka kamera lebih jelas bagus agak ribet simpan datanya menurutku sukanya perbarui lebih jelas android sebagus apapun perbarui tidak bersih;kemera positif;kamera negatif
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";kapasitas memori gb bisa jangka sederhana santai might aneh android edisi warna casing bagus;general positif;baterai positif,spesifikasi positif,general negatif
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";suaranya pengumuman mic bersih pengen beli nga duitnya hahaha;general positif;general negatif
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;ungu cinta ungu bagus cantik indah;general positif;general negatif
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;lebih pas tangan kameranya tuh lebih bagus chipset lebih oke;kamera positif,spesifikasi positif;kamera positif
iPhone 11 Pro Max irit kok.;irit;baterai positif;general positif
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";udah ios jelek ganti takut tidak sengaja tertukar adek;baterai negatif,spesifikasi negatif;spesifikasi negatif
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;ukurannya lebih kecil kamera seri pronya kameranya keliatan kecil tidak power adapter earpod cuma dapet kabelnya plus chip suka times lebih currrent;kamera negatif;general negatif,kamera negatif
Iphone 11 lh, battery dia tahan sikit;baterai tahan sedikit;baterai positif;baterai negatif
