Tweet;label;Tweet_Parsed;sentiment;Prediksi
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif;admin normal pakai baterai kapasitas turun;-1;baterai netral
Kmera iphone 11 mmeng beda;kamera positif;kamera beda;-2;kamera netral
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif;kamera jelek liat liat foto foto cermin kamera;6;kamera positif
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;baterai positif;luncur tingkat daya tahan baterai sayang laku perangkat lunak;7;baterai positif
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi  positif;senderrr rugi beli maksud langsung gapapa speknya bagus harga beda;-2;harga positif
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;kamera negatif;bingung pilih review spesifikasi minat bentuk kamera pilih pasang pakai konon sesuai;14;general positif
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera negatif;hasil kamera xiaomi note adu;0;kamera netral
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif, spesifikasi positif;tajam layar ultra wide angle bagus chipset;0;general negatif
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif;cantik ungu kaya;-2;
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif;sahabat indah abadi kamera;5;kamera netral
Iphone 11 pun menarik;general positif;tarik;2;
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. Harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;harga negatif;murah layar harga wajar banding simpul mahal;6;harga positif
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";general positif;warna ungu bagus beli;-3;general negatif
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;general positif;kemarin pas rilis mata langsung tuju warna warna ungu tarik berat produk warna ungu alhamdulillah wujud beli;17;general positif
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. Kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";kamera positif,baterai positif,spesifikasi positif;bionic chipset prosessor halus lancar isi kamera cantik utama rakaman video stabilization imbang halus baterai tahan;-8;kamera negatif
Iphone 11 terbaik;general positif; ;0;
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;baterai negatif;suka bodoh baterai kapasitas cepat turun marah;-5;baterai negatif
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;general positif;ken bangeettt ganti warna mint hijau kaya bagus udah pergi ibox eraphone udah nanya beli sadar prioritasin;-1;general negatif
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;general positif,harga negatif;suka tunggu harap rezeki;4;
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;kamera positif;rekam video kepala penuh hd;-1;kamera netral
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;kamera positif;banding parah sayang beli xr kamera cuman hasil bagus muluk milih tuh pilih susah;-12;kamera negatif
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;baterai positif;cepat charge cepat charger cepat charger keno beli usb hok dukung cepat charger charge dok molek kei;7;baterai positif
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;spesifikasi  positif;spek bagus;-2;
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";general positif;lucu warna ungu bagus salah fokus judul;-2;general negatif
Iphone 11 aja yg purple lucu bgt :(;general positif;ungu bagus;-2;
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ  pic.twitter.com/1uAKqTbAwb";harga negatif;zan gapunya coba aplikasi boros beli mahal bagus alternatif gratis sangka iya iya kantor tipe neng makas bos dunia;0;harga positif
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;baterai negatif;suka baterai kapasitas baterai mhw tampil smartfone android berkapasiti mhw suka pakai android baterai baterai turun dadak;-6;baterai negatif
wowowoowow iphone iphone iphone 11 pro;kamera positif; ;0;
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;kemera positif;samsung note alih suka kamera bagus ribet simpan data suka android bagus bersih;-10;kamera negatif
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";general positif;kapasitas memori gb jangka sederhana santai might aneh android edisi warna casing bagus;4;baterai positif
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";general positif;suara mic bersih ken beli nga duit hahaha;1;
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;ungu cinta ungu bagus cantik indah;-1;
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;pas tangan kamera tuh bagus chipset oke;4;kamera negatif
iPhone 11 Pro Max irit kok.;baterai positif;irit;0;
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";baterai negatif,spesifikasi negatif;udah ios jelek ganti takut sengaja tukar adek;-12;spesifikasi negatif
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;kamera negatif;ukur kamera seri pro kamera liat power adapter earpod dapet kabel plus chip suka times currrent;10;kamera positif
Iphone 11 lh, battery dia tahan sikit;baterai positif;baterai tahan;-4;baterai negatif
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kamera positif;juta android harga kemaren foto pilih samsung ultimate bilang kamera cantik bicara samsung kamera bagus sedih;-3;harga netral
dosenku iphone 11 ganti jd samsung s20 nder, brrti iphone bosenin wkwk;general negatif;dosen ganti samsung arti bosan;1;
try pakai iphone 11 dulu bro, serius best camera dia huhu;kamera positif;coba pakai serius kamera;-4;kamera netral
