Tweet;label;Tweet_Parsed
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif;admin normal ke kalau     baru pakai beberapa bulan baterai kapasitas  turun  
Kmera iphone 11 mmeng beda;kamera positif;kamera  memang beda
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif;   kamera depannya jelek  aku liat liat para pengguna kalau pada foto harus foto didepan cermin menggunakan kamera belakang soalnya
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;baterai positif; meluncurkan  dengan peningkatan daya tahan baterai  lebih besar sayangnya itu tidak berlaku untuk pembaruan perangkat lunak  
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi positif,harga positif;   tapi rugi  kalau kamu beli   baru sekarang i maksud langsung ke  juga tidak apa apa sebenarnya secara speknya lebih bagus terus harganya tidak jauh beda 
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;kamera negatif;saya juga dulu bingung ingin pilih  atau    review all spesifikasi keduanya tapi karena kurang minat dengan bentuk kamera  akhirnya saya memilih   juga disebabkan pasangan saya memakai    konon ingin sesuai  
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera positif;hasil kamera xiaomi note bisa di adulah sama   sejauh  pernah saya gunakan ini lebih baik  daripada   
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;general positif,kamera positif,spesifikasi positif;kalau  lebih lebih penting ketajaman layar lebih baik   tapi kalau buat keseluruhan    ultra wide angle  bagus sekali chipset juga terbaru 
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif;cantik  ungu  ini  padahal aku tidak kaya 
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang    
Iphone 11 pun menarik;general positif;  menarik
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;harga negatif,general positif;tidak murah karena  layar sama besar dengan   harga   wajar dibanding dengan  kesimpulan mahal 
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";general positif;   warna ungu bagus beli  
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;general positif;tahun kemarin saat  rilis mata langsung tertuju sama warnanya ada warna ungu tertarik berat  kapan lagi produk   mengeluarkan warna ungu alhamdulillah beberapa bulan kemudian terwujud beli  baru     
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";kamera positif,spesifikasi positif,baterai positif;selain sebulan menggunakan  i can mengatakan a bionic chipset prosessor sangat halus melancarkan segala perisian dalaman kamera memang sangat cantik terutama untuk rakaman video dengan stabilization  sangat seimbang dan halus baterai tahan hari dan lebih
Iphone 11 terbaik;general positif; terbaik
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;baterai negatif;suka bodoh kamu  baterai kapasitas cepat sekali turun aku marah 
