Tweet;label;Tweet_Parsed_1;Tweet_Parsed_2;Tweet_Parsed_3;Tweet_Parsed_4
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif;Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;min, normal ke kalau iphone 11/11 pro /pro max baru pakai beberapa bulan battery capacity dah drop to 96%?;min normal ke kalau iphone 11 11 pro pro max baru pakai beberapa bulan battery capacity dah drop to 96 ;admin normal ke kalau iphone 11 11 pro pro max baru pakai beberapa bulan baterai kapasitas dah turun to 96 
Kmera iphone 11 mmeng beda;kamera positif;Kmera iphone 11 mmeng beda;kmera iphone 11 mmeng beda;kmera iphone 11 mmeng beda;kamera iphone 11 memang beda
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif;Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;iphone 11 pro max kamera depannya jelek ye? gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;iphone 11 pro max kamera depannya jelek ye gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;iphone 11 pro max kamera depannya jelek ya aku liat liat para pengguna kalau pada foto harus foto didepan cermin menggunakan kamera belakang soalnya
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;baterai positif;Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.    Ã¢â¬Â¦;apple meluncurkan iphone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software apple.    ã¢â¬â¦;apple meluncurkan iphone 11 dengan peningkatan daya tahan baterai yang lebih besar sayangnya itu tak berlaku untuk pembaruan software apple ;apple meluncurkan iphone 11 dengan peningkatan daya tahan baterai yang lebih besar sayangnya itu tidak berlaku untuk pembaruan perangkat lunak apple 
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi positif,harga positif;xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;xs max senderrr tapi rugi sih kalo kamu beli xs max baru sekarang i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda ;xs max senderrr tapi rugi sih kalau kamu beli xs max baru sekarang i maksud langsung ke iphone 11 juga  tidak apa apa sebenarnya secara speknya lebih bagus terus harganya tidak jauh beda 
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;kamera negatif;Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)    Ã¢â¬Â¦;saya juga dulu confuse nak pilih iphone 11 or iphone xs. dah review all spec keduanya. tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsã°å¸ëâ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)    ã¢â¬â¦;saya juga dulu confuse nak pilih iphone 11 or iphone xs dah review all spec keduanya tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xs juga disebabkan crush saya memakai iphone xs max konon nak matching ekekekeke ;saya juga dulu bingung ingin pilih iphone 11 atau iphone xs dah review all spesifikasi keduanya tapi karena kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xs juga disebabkan pasangan saya memakai iphone xs max konon ingin sesuai ekekekeke 
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera positif;Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax   ;hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax ã°å¸ëâã°å¸â¤â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax   ;hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax ;hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax sejauh yang pernah saya gunakan ini lebih baik sih daripada iphone 11 promax 
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;general positif,kamera positif,spesifikasi positif;Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalo sender lebih mentingin ketajaman layar mending xs max, tapi kalo buat keseluruhan ya iphone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalo sender lebih mentingin ketajaman layar mending xs max tapi kalo buat keseluruhan ya iphone 11 atuh ultra wide angle nya cakep banget chipsetnya juga terbaru ;kalau sender lebih lebih penting ketajaman layar lebih baik xs max tapi kalau buat keseluruhan ya iphone 11 atuh ultra wide angle nya bagus sekali chipset juga terbaru 
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif;Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa ;cantik babi ungu iphone 11 ini sialla padahal aku tidak kaya 
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif;Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iphone 11 pro max.;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iphone 11 pro max ;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iphone 11 pro max 
