Tweet;label;Tweet_Parsed
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif;admin normal pakai baterai kapasitas turun
Kmera iphone 11 mmeng beda;kamera positif;kamera beda
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif;kamera depannya jelek liat liat pengguna foto harus foto didepan cermin kamera
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦;baterai positif;meluncurkan peningkatan daya tahan baterai lebih besar sayangnya tidak berlaku pembaruan perangkat lunak
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi positif,harga positif;rugi beli maksud langsung tidak speknya lebih bagus harganya tidak beda
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;kamera negatif;bingung ingin pilih review spesifikasi kurang minat bentuk kamera memilih disebabkan pasangan memakai konon ingin sesuai
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera positif;hasil kamera xiaomi note bisa adulah lebih baik
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;general positif,kamera positif,spesifikasi positif;lebih lebih ketajaman layar lebih baik keseluruhan ultra wide angle bagus sekali chipset terbaru
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif;cantik ungu tidak kaya
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif;persahabatan lebih indah diabadikan kamera
