Tweet;Tweet_Parsed;True_Label;Pred_Label
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;admin normal pakai baterai kapasitas turun;baterai negatif;baterai positif
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;rugi beli maksud langsung tidak speknya lebih bagus harganya tidak beda;spesifikasi positif,harga positif;spesifikasi negatif,harga positif
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;bingung ingin pilih review spesifikasi kurang minat bentuk kamera memilih disebabkan pasangan memakai konon ingin sesuai;kamera negatif;spesifikasi negatif,general negatif,kamera positif
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;kemarin rilis mata langsung warnanya warna ungu tertarik berat produk mengeluarkan warna ungu alhamdulillah terwujud beli;general positif;general negatif
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;suka tidak mampu tunggu harap rezeki;general positif,harga negatif;general negatif
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";lucu warnanya ungu bagus salah fokus judul;general positif;general negatif
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";kapasitas memori besar gb bisa jangka lama sederhana santai aneh android edisi warna casing bagus;spesifikasi positif,general positif;general positif,baterai positif,spesifikasi positif
iPhone 11 Pro Max irit kok.;irit;baterai positif;general positif
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";udah ios jelek ganti takut tidak sengaja tertukar adek;baterai negatif,spesifikasi negatif;spesifikasi negatif
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;ukurannya lebih kecil kamera seri pronya besar sekali kameranya keliatan kecil tidak power adapter earpod cuma dapet kabelnya plus chip suka times lebih baik currrent;general negatif,kamera negatif,spesifikasi positif;general negatif,kamera positif,spesifikasi positif
Iphone 11 lh, battery dia tahan sikit;baterai tahan sedikit;baterai positif;baterai negatif
