Tweet;Tweet_Parsed;True_Label;Pred_Label
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;admin normal ke kalau     baru pakai beberapa bulan baterai kapasitas  turun  ;baterai negatif;baterai negatif
Kmera iphone 11 mmeng beda;kamera  memang beda;kamera positif;kamera positif
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;   kamera depannya jelek  aku liat liat para pengguna kalau pada foto harus foto didepan cermin menggunakan kamera belakang soalnya;kamera negatif;kamera negatif
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912ÃÂ Ã¢â¬Â¦; meluncurkan  dengan peningkatan daya tahan baterai  lebih besar sayangnya itu tidak berlaku untuk pembaruan perangkat lunak  ;baterai positif;baterai positif
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;hasil kamera xiaomi note bisa di adulah sama   sejauh  pernah saya gunakan ini lebih baik  daripada   ;kamera positif;kamera positif
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;persahabatan memang lebih indah kalau diabadikan dengan kamera belakang    ;kamera positif;kamera positif
Iphone 11 pun menarik;  menarik;general positif;general positif
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;tahun kemarin saat  rilis mata langsung tertuju sama warnanya ada warna ungu tertarik berat  kapan lagi produk   mengeluarkan warna ungu alhamdulillah beberapa bulan kemudian terwujud beli  baru     ;general positif;general positif
Iphone 11 terbaik; terbaik;general positif;general positif
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;suka bodoh kamu  baterai kapasitas cepat sekali turun aku marah ;baterai negatif;baterai negatif
