;aspect;subaspect
0;baterai;mah
1;baterai;kapasitas
2;baterai;daya
3;baterai;charge
4;baterai;charger
5;baterai;baterai
6;baterai;baterainya
7;baterai;cas
8;baterai;casnya
9;baterai;chargeran
10;baterai;chargerannya
11;baterai;chargernya
12;baterai;casan
13;general;warna
14;general;layar
15;general;ukuran
16;general;speaker
17;general;desain
18;general;case
19;general;casing
20;general;pemindai
21;general;warnanya
22;general;layarnya
23;general;ukurannya
24;general;audio
25;general;desainnya
26;general;desainya
27;harga;harga
28;harga;biaya
29;harga;harganya
30;harga;mahal
31;harga;murah
32;kamera;foto
33;kamera;gambar
34;kamera;video
35;kamera;resolusi
36;kamera;kamera
37;kamera;kameranya
38;kamera;fotonya
39;kamera;gambarnya
40;kamera;videonya
41;kamera;resolusinya
42;kamera;mp
43;kamera;pixel
44;spesifikasi;ios
45;spesifikasi;sistem operasi
46;spesifikasi;ram
47;spesifikasi;cpu
48;spesifikasi;memori
49;spesifikasi;sistem
0;baterai;daya muat
1;baterai;daya serap
2;baterai;daya
3;baterai;kapabilitas
4;baterai;kapasitas
5;baterai;kebisaan
6;baterai;kebolehan
7;baterai;kecakapan
8;baterai;kemampuan
9;baterai;kepandaian
10;baterai;kesanggupan
11;baterai;kompetensi
12;baterai;kualifikasi
13;baterai;energi
14;baterai;gaya
15;baterai;harkat
16;baterai;kekuatan
17;baterai;ketajaman
18;baterai;tenaga
19;baterai;akal
20;baterai;kiat
21;baterai;kunci
22;baterai;muslihat
23;baterai;rahasia
24;baterai;resep
25;baterai;siasat
26;baterai;taktik
27;baterai;trik
28;baterai;aki
29;baterai;lampu (senter)
30;baterai;ki mengasah
31;baterai;menyegarkan
32;general;bunga-bunga
33;general;berbagai-bagai
34;general;bermacam-macam
35;general;corak
36;general;ragam
37;general;ragi
38;general;rona
39;general;sifat
40;general;kasta
41;general;kelas
42;general;lapisan
43;general;level
44;general;strata
45;general;tingkatan
46;general;warga
47;general;cucur
48;general;jib
49;general;kelir
50;general;adang-adang
51;general;belat
52;general;bidai
53;general;ebek
54;general;kerai
55;general;langsai
56;general;tabir
57;general;tebeng
58;general;tedeng
59;general;tirai
60;general;monitor
61;general;skrin
62;general;barometer
63;general;kadar
64;general;parameter
65;general;patokan
66;general;skala
67;general;standar
68;general;sukatan
69;general;takaran
70;general;tingkatan
71;general;tolok ukur
72;general;bentuk
73;general;dosis
74;general;edisi
75;general;kadar
76;general;buatan
77;general;ciptaan
78;general;kreasi
79;general;metode
80;general;proyek
81;general;rancangan
82;general;rangka
83;general;reka bentuk
84;general;skema
85;general;sketsa
86;general;strategi
87;general;tata
88;general;contoh
89;general;corak
90;general;figur
91;general;motif
92;general;patron
93;general;pola
94;general;arsitektur
95;general;bentuk
96;general;formasi
97;general;komposisi
98;general;konstruksi
99;harga;kadar
100;harga;kualitas
101;harga;mutu
102;harga;nilai
103;harga;payu
104;harga;taksiran
105;harga;derajat
106;harga;harkat
107;harga;kehormatan
108;harga;martabat
109;harga;pangkat
110;harga;arti
111;harga;faedah
112;harga;guna
113;harga;makna
114;harga;manfaat
115;harga;maslahat
116;harga;kepentingan
117;harga;keperluan
118;harga;anggaran
119;harga;bayaran
120;harga;bea
121;harga;beban
122;harga;belanja
123;harga;dana
124;harga;imbalan
125;harga;kos
126;harga;ongkos
127;harga;pengeluaran
128;harga;upah
129;harga;garib
130;harga;langka
131;harga;banyak
132;harga;berlebih-lebih
133;harga;ekonomis
134;harga;gampang
135;harga;limpah
136;harga;melimpah
137;harga;mudah
138;kamera;cetakan
139;kamera;film
140;kamera;fotograf
141;kamera;gambar
142;kamera;klise
143;kamera;lukisan
144;kamera;negatif
145;kamera;positif
146;kamera;potret
147;kamera;salindia
148;kamera;coretan
149;kamera;goresan
150;kamera;ilustrasi
151;kamera;lakaran
152;kamera;lukisan
153;kamera;pigura
154;kamera;rajah
155;kamera;sketsa
156;kamera;tulisan
157;kamera;film
158;kamera;gambar
159;kamera;pernyataan
160;kamera;putusan
161;kamera;alat potret
162;kamera;kodak 
163;kamera;tustel
164;spesifikasi;biku
165;spesifikasi;bingkai
166;spesifikasi;jendela
167;spesifikasi;pemidang
168;spesifikasi;tingkap
169;spesifikasi;album
170;spesifikasi;impresi
171;spesifikasi;ingatan
172;spesifikasi;kenangan
173;spesifikasi;kesan
174;spesifikasi;nostalgia
175;spesifikasi;reminisensi
176;spesifikasi;sejarah
177;spesifikasi;bentuk
178;spesifikasi;komposisi
179;spesifikasi;koordinasi
180;spesifikasi;orde
181;spesifikasi;organisasi
182;spesifikasi;pola
183;spesifikasi;skema
184;spesifikasi;struktur
185;spesifikasi;strata
