Tweet;Tweet_Parsed;True_Label;Pred_Label
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;admin normal ke kalau     baru pakai beberapa bulan baterai kapasitas  turun  ;baterai negatif;baterai positif
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;   tapi rugi  kalau kamu beli   baru sekarang i maksud langsung ke  juga tidak apa apa sebenarnya secara speknya lebih bagus terus harganya tidak jauh beda ;spesifikasi positif,harga positif;spesifikasi negatif,harga positif
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦;saya juga dulu bingung ingin pilih  atau    review all spesifikasi keduanya tapi karena kurang minat dengan bentuk kamera  akhirnya saya memilih   juga disebabkan pasangan saya memakai    konon ingin sesuai  ;kamera negatif;spesifikasi negatif,general negatif,kamera positif
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;tahun kemarin saat  rilis mata langsung tertuju sama warnanya ada warna ungu tertarik berat  kapan lagi produk   mengeluarkan warna ungu alhamdulillah beberapa bulan kemudian terwujud beli  baru     ;general positif;general negatif
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";selain sebulan menggunakan  i can mengatakan a bionic chipset prosessor sangat halus melancarkan segala perisian dalaman kamera memang sangat cantik terutama untuk rakaman video dengan stabilization  sangat seimbang dan halus baterai tahan hari dan lebih;kamera positif,spesifikasi positif,baterai positif;spesifikasi negatif,kamera positif,baterai positif
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;saya suka   tapi tidak mampu oleh itu  saya tunggu  harap ada rezeki ;general positif,harga negatif;general negatif
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";memang  ini lucu warnanya  ungu juga bagus  aku salah fokus sama judul   ;general positif;general negatif
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";   karena kapasitas memori besar gb jadi bisa untuk jangka lama dan sederhana untuk santai  but mungkin be aneh sejak you were an android ke  s  edisi karena  dan warna casing  bagus;spesifikasi positif,general positif;spesifikasi negatif,general positif,baterai positif
iPhone 11 Pro Max irit kok.;   irit kok ;baterai positif;general positif
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT"; udah  setelah menggunakan  tahun ios jelek ini  mau ganti  tapi takut kalau tidak sengaja tertukar sama adek ;baterai negatif,spesifikasi negatif;spesifikasi negatif
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;  ukurannya lebih kecil daripada  se baru tapi kamera seri pronya  besar sekali   kameranya keliatan kecil tidak ada power adapter sama earpod cuma dapet kabelnya  plus  chip a is suka times lebih baik than  currrent a ;general negatif,kamera negatif,spesifikasi positif;general negatif,kamera positif,spesifikasi positif
Iphone 11 lh, battery dia tahan sikit;  baterai dia tahan sedikit;baterai positif;baterai negatif
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kenapa  walaupun hampir juta kalau cuma android tidak dihargai begitu kemaren waktu foto pilihan ada samsung s ultimate sama    dibilang menggunakan  kamu  kan kameranya paling cantik membicarakan   padahal  samsung kameranya bagus juga sedih aku itu;kamera positif;kamera negatif
dosenku iphone 11 ganti jd samsung s20 nder, brrti iphone bosenin wkwk;dosenku  ganti jadi samsung s  berarti  membosankan ;general negatif;general positif
"Heran iphone11 memory cepet banget abis.. 

Kebetulan lagi hobby bikin video masak.. kadang ditengah masak memori abis.. bingung dan panik makanan bisa gagal.. 

Tapi setelah liat kualitas videonya bener2 unnecessary bagus dan alus banget.. terlalu canggih buat saya..";heran  memori cepat sekali abis kebetulan lagi suka membuat video masak kadang ditengah masak memori abis bingung dan panik makanan bisa gagal tapi setelah liat kualitas videonya bener tidak penting bagus dan alus sekali terlalu canggih buat saya ;spesifikasi negatif,kamera positif;spesifikasi positif,kamera negatif
android baterai nya tahan lama, iphone boros kcuali iphone 11;android baterai  tahan lama  boros kecuali  ;baterai positif;baterai negatif
iPhone 11. Chipsetnya kenceng, layar besar dan batterynya kuat karena resolusi displaynya rendah Ã°Å¸Ëâ   https://twitter.com/GamesMenfess/status/1274142447451295745ÃÂ Ã¢â¬Â¦; chipset kenceng layar besar dan baterai kuat karena resolusi layar rendah ;spesifikasi positif,general positif,baterai positif,general negatif;general positif,spesifikasi positif,baterai positif,kamera positif
Go for iPhone 11 and above. Samsung ni android paham2 la ahahhahah developer app selalu anak tirikan android, anak emaskan iPhone. Walaupun S20 flagship but application optimization for hardware tak seoptimum iPhone. Story ig akan tetap ada micro lag.;go untuk  dan above samsung ini android paham la  developer aplikasi selalu anak tirikan android anak emaskan  walaupun s flagship but application optimization untuk hardware tidak seoptimum  story ig akan tetap ada micro lag ;kamera positif,spesifikasi positif;general positif
belilah fast charging for Iphone 11 sbb 5 watt charger yang dibekalkan amatlah slow;belilah cepat charger untuk  karena watt charger  dimasukan sekali lambat;baterai negatif;baterai positif
